Csirkemell (sült), Kalória: 165 kcal, Fehérje: 31 g, Zsír: 3.6 g, Szénhidrát: 0 g
Csirkecomb (sült), Kalória: 210 kcal, Fehérje: 27 g, Zsír: 10 g, Szénhidrát: 0 g
Marhahús (sült), Kalória: 250 kcal, Fehérje: 26 g, Zsír: 17 g, Szénhidrát: 0 g
Sertéshús (sült), Kalória: 290 kcal, Fehérje: 25 g, Zsír: 20 g, Szénhidrát: 0 g
Lazac (sült), Kalória: 206 kcal, Fehérje: 22 g, Zsír: 13 g, Szénhidrát: 0 g
Tonhal (sült), Kalória: 130 kcal, Fehérje: 29 g, Zsír: 1 g, Szénhidrát: 0 g
Hekk (sült), Kalória: 150 kcal, Fehérje: 20 g, Zsír: 5 g, Szénhidrát: 0 g
Pisztráng (grillezett), Kalória: 190 kcal, Fehérje: 22 g, Zsír: 11 g, Szénhidrát: 0 g
Pulykamell (sült), Kalória: 140 kcal, Fehérje: 30 g, Zsír: 1.5 g, Szénhidrát: 0 g
Bárányhús (sült), Kalória: 250 kcal, Fehérje: 25 g, Zsír: 18 g, Szénhidrát: 0 g
Füstölt sonka, Kalória: 220 kcal, Fehérje: 24 g, Zsír: 14 g, Szénhidrát: 0 g
Bacon, Kalória: 540 kcal, Fehérje: 37 g, Zsír: 42 g, Szénhidrát: 0 g
Kolbász (sült), Kalória: 350 kcal, Fehérje: 18 g, Zsír: 30 g, Szénhidrát: 2 g
Tojás, Kalória: 155 kcal, Fehérje: 13 g, Zsír: 11 g, Szénhidrát: 1.1 g
Tej (1.5%), Kalória: 42 kcal, Fehérje: 3.4 g, Zsír: 1.5 g, Szénhidrát: 5 g
Joghurt (natúr, 3.5%), Kalória: 61 kcal, Fehérje: 3.5 g, Zsír: 3.3 g, Szénhidrát: 4.7 g
Sajt (trappista), Kalória: 380 kcal, Fehérje: 25 g, Zsír: 30 g, Szénhidrát: 1.3 g
Tejföl (20%), Kalória: 204 kcal, Fehérje: 3 g, Zsír: 20 g, Szénhidrát: 4 g
Kefir (1.5%), Kalória: 50 kcal, Fehérje: 3.5 g, Zsír: 1.5 g, Szénhidrát: 5 g
Túró (félzsíros), Kalória: 150 kcal, Fehérje: 16 g, Zsír: 7 g, Szénhidrát: 3 g
Kockasajt, Kalória: 250 kcal, Fehérje: 14 g, Zsír: 22 g, Szénhidrát: 2 g
Brokkoli (főtt), Kalória: 55 kcal, Fehérje: 5 g, Zsír: 0.6 g, Szénhidrát: 11 g
Répa (nyers), Kalória: 41 kcal, Fehérje: 1 g, Zsír: 0.2 g, Szénhidrát: 10 g
Paradicsom, Kalória: 18 kcal, Fehérje: 1 g, Zsír: 0.2 g, Szénhidrát: 4 g
Uborka, Kalória: 15 kcal, Fehérje: 0.6 g, Zsír: 0.2 g, Szénhidrát: 3 g
Paprika, Kalória: 31 kcal, Fehérje: 1 g, Zsír: 0.3 g, Szénhidrát: 6 g
Káposzta (nyers), Kalória: 25 kcal, Fehérje: 1.3 g, Zsír: 0.2 g, Szénhidrát: 6 g
Alma, Kalória: 52 kcal, Fehérje: 0.3 g, Zsír: 0.2 g, Szénhidrát: 14 g
Banán, Kalória: 89 kcal, Fehérje: 1.1 g, Zsír: 0.3 g, Szénhidrát: 23 g
Narancs, Kalória: 47 kcal, Fehérje: 0.9 g, Zsír: 0.1 g, Szénhidrát: 12 g
Szőlő, Kalória: 69 kcal, Fehérje: 0.7 g, Zsír: 0.2 g, Szénhidrát: 18 g
Görögdinnye, Kalória: 30 kcal, Fehérje: 0.6 g, Zsír: 0.2 g, Szénhidrát: 8 g
Eper, Kalória: 32 kcal, Fehérje: 0.7 g, Zsír: 0.3 g, Szénhidrát: 8 g
Zabpehely, Kalória: 389 kcal, Fehérje: 17 g, Zsír: 7 g, Szénhidrát: 66 g
Fehér kenyér, Kalória: 265 kcal, Fehérje: 9 g, Zsír: 3.2 g, Szénhidrát: 49 g
Teljes kiőrlésű kenyér, Kalória: 247 kcal, Fehérje: 13 g, Zsír: 3.4 g, Szénhidrát: 41 g
Rizs (főtt), Kalória: 130 kcal, Fehérje: 2.7 g, Zsír: 0.3 g, Szénhidrát: 28 g
Burgonya (főtt), Kalória: 86 kcal, Fehérje: 2 g, Zsír: 0.1 g, Szénhidrát: 20 g
Tészta (főtt), Kalória: 130 kcal, Fehérje: 5 g, Zsír: 1 g, Szénhidrát: 25 g
Lángos, Kalória: 410 kcal, Fehérje: 8 g, Zsír: 22 g, Szénhidrát: 45 g
Kifli, Kalória: 290 kcal, Fehérje: 8 g, Zsír: 7 g, Szénhidrát: 54 g
Zsemle, Kalória: 270 kcal, Fehérje: 8 g, Zsír: 6 g, Szénhidrát: 50 g
Csokoládé (ét, 70%), Kalória: 600 kcal, Fehérje: 7.9 g, Zsír: 43 g, Szénhidrát: 45 g
Mogyoróvaj, Kalória: 588 kcal, Fehérje: 25 g, Zsír: 50 g, Szénhidrát: 20 g
Palacsinta (lekváros), Kalória: 210 kcal, Fehérje: 6 g, Zsír: 9 g, Szénhidrát: 30 g
Kakaós csiga, Kalória: 410 kcal, Fehérje: 7 g, Zsír: 20 g, Szénhidrát: 50 g
Fánk, Kalória: 450 kcal, Fehérje: 6 g, Zsír: 25 g, Szénhidrát: 55 g
Mézeskalács, Kalória: 380 kcal, Fehérje: 6 g, Zsír: 10 g, Szénhidrát: 65 g
Somlói galuska, Kalória: 320 kcal, Fehérje: 6 g, Zsír: 14 g, Szénhidrát: 40 g
Zserbó, Kalória: 470 kcal, Fehérje: 6 g, Zsír: 30 g, Szénhidrát: 50 g
Kóla, Kalória: 42 kcal, Fehérje: 0 g, Zsír: 0 g, Szénhidrát: 10.6 g
Narancslé, Kalória: 45 kcal, Fehérje: 0.7 g, Zsír: 0.2 g, Szénhidrát: 10 g
